player,count_for_inc,count_for_ic,count_for,count_against_inc,count_against_ic,count_against,net
Roy Hibbert,5,,5,1,1,2,3
Tim Duncan,6,1,7,4,,4,3
Blake Griffin,8,,8,5,,5,3
Alex Len,4,,4,1,,1,3
David West,3,,3,,,,3
Dirk Nowitzki,14,1,15,10,2,12,3
Tobias Harris,5,1,6,2,1,3,3
Meyers Leonard,4,1,5,1,1,2,3
Thabo Sefolosha,3,1,4,1,,1,3
Kristaps Porzingis,9,,9,6,,6,3
Chris Bosh,2,1,3,,,,3
Boris Diaw,2,1,3,,,,3
Marcus Thornton,3,,3,,,,3
Raymond Felton,5,,5,1,1,2,3
Greg Monroe,6,,6,2,1,3,3
Justise Winslow,6,,6,3,,3,3
Tony Allen,5,,5,1,1,2,3
Salah Mejri,4,,4,1,,1,3
Kyle O'Quinn,5,,5,2,,2,3
Toney Douglas,2,1,3,,,,3
Myles Turner,5,,5,1,1,2,3
Doug McDermott,4,,4,1,,1,3
Denzel Valentine,3,,3,,,,3
Marquese Chriss,4,,4,1,,1,3
Gary Neal,1,1,2,,,,2
Anthony Davis,10,3,13,10,1,11,2
Will Barton,6,2,8,6,,6,2
Omri Casspi,2,,2,,,,2
Kevin Martin,2,1,3,1,,1,2
Solomon Hill,2,,2,,,,2
Greivis Vasquez,2,,2,,,,2
Gorgui Dieng,7,,7,4,1,5,2
Wilson Chandler,3,1,4,2,,2,2
Anthony Morrow,2,,2,,,,2
Ben McLemore,2,1,3,1,,1,2
Andrew Bogut,4,,4,2,,2,2
Omer Asik,3,,3,1,,1,2
Kelly Olynyk,2,,2,,,,2
Timofey Mozgov,2,,2,,,,2
Lance Thomas,4,,4,2,,2,2
CJ Miles,2,,2,,,,2
Kendrick Perkins,2,,2,,,,2
John Henson,4,,4,1,1,2,2
DeMarre Carroll,6,,6,3,1,4,2
Jonas Valanciunas,9,,9,6,1,7,2
Tristan Thompson,7,,7,5,,5,2
Jeff Teague,6,3,9,6,1,7,2
Harrison Barnes,7,,7,5,,5,2
E'Twaun Moore,4,,4,1,1,2,2
Lavoy Allen,2,,2,,,,2
Cory Joseph,9,,9,5,2,7,2
Anthony Tolliver,2,,2,,,,2
TJ Warren,3,1,4,2,,2,2
Chandler Parsons,2,2,4,2,,2,2
Ian Mahinmi,6,1,7,4,1,5,2
Jamal Crawford,3,,3,1,,1,2
Nikola Jokic,6,1,7,3,2,5,2
Wesley Johnson,2,,2,,,,2
Vince Carter,4,,4,2,,2,2
Shaun Livingston,4,,4,1,1,2,2
Emmanuel Mudiay,2,3,5,3,,3,2
Devin Booker,5,,5,3,,3,2
Norman Powell,2,,2,,,,2
JaMychal Green,5,,5,2,1,3,2
Boban Marjanovic,2,,2,,,,2
Manu Ginobili,5,,5,3,,3,2
Rodney McGruder,2,,2,,,,2
Justin Anderson,2,,2,,,,2
Justin Holiday,3,,3,1,,1,2
Richard Jefferson,2,1,3,1,,1,2
Josh Richardson,6,,6,4,,4,2
Willie Reed,2,,2,,,,2
Kevin Seraphin,3,,3,1,,1,2
James Johnson,2,1,3,1,,1,2
Otto Porter Jr.,2,,2,,,,2
Tyler Ulis,2,,2,,,,2
Dante Cunningham,3,,3,2,,2,1
Spencer Hawes,1,,1,,,,1
Courtney Lee,1,,1,,,,1
Hedo Turkoglu,1,,1,,,,1
JJ Redick,4,2,6,4,1,5,1
Nicolas Batum,6,1,7,4,2,6,1
Nikola Mirotic,3,2,5,4,,4,1
Ersan Ilyasova,5,,5,4,,4,1
Giannis Antetokounmpo,15,,15,14,,14,1
Jameer Nelson,3,,3,2,,2,1
Zaza Pachulia,8,1,9,4,4,8,1
Tiago Splitter,1,,1,,,,1
Quincy Pondexter,1,,1,,,,1
Eric Bledsoe,3,2,5,4,,4,1
Gerald Wallace,1,,1,,,,1
Damjan Rudez,1,,1,,,,1
Mo Williams,1,,1,,,,1
Terrence Ross,2,,2,1,,1,1
Jeff Taylor,1,,1,,,,1
Gerald Green,1,,1,,,,1
Ty Lawson,2,,2,1,,1,1
Henry Sims,1,,1,,,,1
Shawn Marion,1,,1,,,,1
Paul Pierce,3,,3,1,1,2,1
Alan Anderson,1,,1,,,,1
Al Jefferson,2,,2,1,,1,1
Ed Davis,3,,3,2,,2,1
Paul George,10,5,15,14,,14,1
D'Angelo Russell,2,,2,1,,1,1
Joel Anthony,1,,1,,,,1
Dennis Schroder,8,1,9,7,1,8,1
Alexis Ajinca,3,,3,2,,2,1
Ramon Sessions,1,,1,,,,1
Allen Crabbe,2,1,3,2,,2,1
Troy Daniels,2,,2,1,,1,1
Rodney Hood,2,2,4,3,,3,1
Darrell Arthur,1,,1,,,,1
D.J. Augustin,1,,1,,,,1
Quincy Acy,2,,2,1,,1,1
Miles Plumlee,1,,1,,,,1
Chris McCullough,1,,1,,,,1
Donatas Motiejunas,1,,1,,,,1
Sasha Vujacic,1,,1,,,,1
Pablo Prigioni,1,,1,,,,1
Cole Aldrich,1,,1,,,,1
CJ Watson,1,,1,,,,1
Rashad Vaughn,1,,1,,,,1
Jordan McRae,1,,1,,,,1
Jodie Meeks,1,,1,,,,1
Andre Miller,1,,1,,,,1
Dragan Bender,1,,1,,,,1
Beno Udrih,1,,1,,,,1
Joe Harris,1,,1,,,,1
Leandro Barbosa,1,,1,,,,1
Shabazz Napier,2,,2,1,,1,1
Nick Young,1,,1,,,,1
Domantas Sabonis,1,,1,,,,1
Udonis Haslem,1,,1,,,,1
Kelly Oubre Jr.,4,,4,2,1,3,1
Dario Saric,7,,7,5,1,6,1
James Ennis III,1,,1,,,,1
Malcolm Delaney,1,,1,,,,1
Mindaugas Kuzminskas,1,,1,,,,1
Kris Dunn,1,1,2,1,,1,1
Maurice Harkless,4,,4,3,,3,1
Wayne Selden,1,,1,,,,1
Tyronn Lue,1,,1,,,,1
Bryn Forbes,1,,1,,,,1
Stephen Zimmerman,1,,1,,,,1
Noah Vonleh,1,,1,,,,1
Channing Frye,1,,1,,,,1
Dwight Powell,1,,1,,,,1
Taurean Prince,1,,1,,,,1
Mike Scott,1,,1,,,,1
Ben Simmons,1,,1,,,,1
Terry Rozier,1,,1,,,,1
Brandan Wright,1,,1,,,,1
Dejounte Murray,1,,1,,,,1
Darius Miller,1,,1,,,,1
Kyle Kuzma,1,,1,,,,1
Davis Bertans,1,,1,,,,1
LeBron James,17,1,18,17,1,18,0
Jeremy Lin,4,,4,2,2,4,0
Kentavious Caldwell-Pope,3,1,4,3,1,4,0
Tony Parker,4,,4,2,2,4,0
Chase Budinger,1,,1,1,,1,0
Thaddeus Young,3,,3,3,,3,0
Brandon Bass,2,,2,1,1,2,0
Aaron Gordon,2,,2,2,,2,0
Tyler Hansbrough,1,,1,1,,1,0
Rasual Butler,1,,1,1,,1,0
CJ McCollum,5,,5,5,,5,0
Mike Muscala,2,,2,2,,2,0
J.R. Smith,3,1,4,2,2,4,0
LaMarcus Aldridge,8,1,9,7,2,9,0
Evan Fournier,5,1,6,6,,6,0
Dion Waiters,6,,6,3,3,6,0
Kevin Garnett,1,,1,1,,1,0
Montrezl Harrell,2,,2,2,,2,0
Mario Chalmers,1,,1,1,,1,0
Ricky Rubio,8,,8,7,1,8,0
Jared Dudley,1,1,2,1,1,2,0
Goran Dragic,8,,8,8,,8,0
Hollis Thompson,3,,3,3,,3,0
Shelvin Mack,1,,1,1,,1,0
Jonas Jerebko,2,,2,1,1,2,0
Robert Covington,5,1,6,6,,6,0
Jordan Farmar,1,,1,1,,1,0
Rudy Gay,3,1,4,3,1,4,0
Patty Mills,1,,1,1,,1,0
Eric Gordon,3,1,4,3,1,4,0
Sam Dekker,1,,1,1,,1,0
Tim Frazier,1,,1,1,,1,0
Kosta Koufos,1,,1,1,,1,0
Kyle Anderson,1,,1,1,,1,0
Okaro White,1,,1,1,,1,0
Richaun Holmes,1,,1,1,,1,0
Malcolm Brogdon,1,,1,1,,1,0
Jason Terry,2,,2,2,,2,0
Jayson Tatum,1,,1,1,,1,0
Avery Bradley,6,,6,7,,7,-1
DeAndre Jordan,10,,10,9,2,11,-1
Bojan Bogdanovic,2,,2,2,1,3,-1
Danny Green,1,,1,1,1,2,-1
Klay Thompson,3,2,5,4,2,6,-1
Jason Smith,1,,1,2,,2,-1
Alexey Shved,1,,1,2,,2,-1
Wayne Ellington,1,,1,2,,2,-1
Trey Burke,1,,1,2,,2,-1
Paul Millsap,11,2,13,11,3,14,-1
Corey Brewer,2,,2,3,,3,-1
Derrick Favors,4,,4,5,,5,-1
Victor Oladipo,6,,6,7,,7,-1
JaKarr Sampson,1,,1,2,,2,-1
Elfrid Payton,1,1,2,3,,3,-1
Kyle Korver,3,,3,3,1,4,-1
Rodney Stuckey,1,,1,2,,2,-1
Gerald Henderson,1,,1,2,,2,-1
Michael Beasley,1,,1,2,,2,-1
Nemanja Bjelica,1,1,2,3,,3,-1
Isaiah Whitehead,1,,1,2,,2,-1
Jahlil Okafor,1,,1,2,,2,-1
Jabari Parker,1,,1,1,1,2,-1
Sean Kilpatrick,1,1,2,3,,3,-1
Bobby Portis,1,,1,2,,2,-1
Jordan Hill,2,,2,3,1,4,-2
Khris Middleton,7,,7,8,1,9,-2
Nerlens Noel,7,,7,8,1,9,-2
Al-Farouq Aminu,4,,4,5,1,6,-2
Joe Ingles,2,,2,4,,4,-2
Matthew Dellavedova,2,,2,4,,4,-2
Lou Williams,2,,2,3,1,4,-2
Pau Gasol,4,,4,5,1,6,-2
Amir Johnson,2,,2,3,1,4,-2
Andre Roberson,4,,4,5,1,6,-2
Isaiah Canaan,1,1,2,4,,4,-2
Danilo Gallinari,5,2,7,9,,9,-2
Luol Deng,3,,3,5,,5,-2
Gary Harris,2,,2,2,2,4,-2
Brandon Knight,1,1,2,4,,4,-2
Kent Bazemore,7,,7,9,,9,-2
Rondae Hollis-Jefferson,1,,1,3,,3,-2
Marcus Smart,3,1,4,3,3,6,-2
Tim Hardaway Jr.,2,,2,3,1,4,-2
Caris LeVert,1,,1,3,,3,-2
J.J. Barea,1,,1,2,1,3,-2
Jerryd Bayless,1,1,2,3,1,4,-2
Bradley Beal,6,,6,8,1,9,-3
Jeff Green,5,1,6,5,4,9,-3
Jarrett Jack,2,,2,5,,5,-3
Derrick Rose,2,1,3,6,,6,-3
Jimmy Butler,10,2,12,12,3,15,-3
Isaiah Thomas,4,5,9,12,,12,-3
Michael Kidd-Gilchrist,1,,1,3,1,4,-3
Buddy Hield,1,,1,4,,4,-3
Otto Porter,4,,4,7,,7,-3
Brandon Ingram,1,,1,4,,4,-3
Spencer Dinwiddie,1,,1,3,1,4,-3
Joel Embiid,2,,2,5,,5,-3
John Wall,6,1,7,11,,11,-4
George Hill,7,2,9,10,3,13,-4
Stephen Curry,4,,4,8,,8,-4
Deron Williams,3,,3,6,1,7,-4
Garrett Temple,2,1,3,6,1,7,-4
Jrue Holiday,3,,3,5,2,7,-4
Iman Shumpert,2,,2,5,1,6,-4
Kyrie Irving,5,1,6,9,1,10,-4
DeMar DeRozan,5,1,6,10,,10,-4
Langston Galloway,1,,1,3,2,5,-4
Kemba Walker,9,2,11,14,2,16,-5
Marvin Williams,3,,3,8,,8,-5
Wesley Matthews,6,2,8,12,1,13,-5
Kevin Love,1,,1,6,,6,-5
Andrew Wiggins,6,4,10,16,,16,-6
Mike Conley,5,2,7,10,3,13,-6
Damian Lillard,3,3,6,11,1,12,-6
Andre Iguodala,3,,3,10,,10,-7
Kevin Durant,2,1,3,8,2,10,-7
PJ Tucker,6,,6,12,2,14,-8
Gordon Hayward,4,2,6,14,1,15,-9
